                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.1543,                 1.2448,                 1.0095,                0.25304,                0.33447,                0.26835,                0.16449,                 1.5369,                0.93548,                0.92744,               0.006568,               0.006568,               0.006568
                    107,                 1.1645,                 1.2481,                 1.0142,                0.25374,                0.33237,                0.26741,                0.16412,                 1.5351,                0.93418,                0.92712,               0.006535,               0.006535,               0.006535
                    108,                 1.1496,                 1.2466,                 1.0138,                0.25175,                 0.3322,                0.26661,                 0.1636,                 1.5315,                0.93405,                0.92378,               0.006502,               0.006502,               0.006502
                    109,                 1.1575,                 1.2485,                 1.0101,                0.25273,                0.33684,                0.26644,                0.16341,                 1.5295,                0.93453,                0.92334,               0.006469,               0.006469,               0.006469
                    110,                 1.1556,                 1.2515,                 1.0169,                0.26126,                0.33904,                0.26756,                0.16408,                 1.5301,                0.93393,                 0.9237,               0.006436,               0.006436,               0.006436
                    111,                 1.1526,                 1.2393,                 1.0126,                0.28249,                0.33875,                0.26882,                0.16436,                 1.5373,                 0.9325,                0.92869,               0.006403,               0.006403,               0.006403
                    112,                 1.1471,                   1.24,                 1.0079,                0.30135,                0.33866,                0.26911,                0.16471,                  1.546,                0.93459,                0.93574,                0.00637,                0.00637,                0.00637
                    113,                 1.1464,                 1.2385,                 1.0145,                0.28127,                0.33894,                0.26978,                0.16494,                  1.544,                0.93282,                 0.9362,               0.006337,               0.006337,               0.006337
                    114,                 1.1503,                 1.2484,                 1.0103,                  0.261,                 0.3437,                0.26836,                0.16436,                 1.5435,                0.93445,                0.93653,               0.006304,               0.006304,               0.006304
                    115,                 1.1562,                 1.2425,                 1.0137,                0.25214,                0.34856,                0.26812,                0.16445,                 1.5417,                0.93391,                 0.9347,               0.006271,               0.006271,               0.006271
                    116,                 1.1508,                 1.2382,                 1.0118,                0.25245,                0.34389,                0.26853,                0.16459,                 1.5337,                0.93418,                0.92843,               0.006238,               0.006238,               0.006238
                    117,                 1.1396,                 1.2359,                 1.0081,                0.25479,                0.34399,                0.27078,                 0.1658,                 1.5332,                0.93493,                0.92785,               0.006205,               0.006205,               0.006205
                    118,                  1.149,                 1.2357,                 1.0147,                0.25191,                 0.3417,                0.26998,                 0.1653,                  1.531,                0.93313,                0.92694,               0.006172,               0.006172,               0.006172
                    119,                 1.1408,                 1.2345,                 1.0106,                0.25364,                0.34649,                0.26968,                0.16506,                  1.531,                0.93175,                0.92673,               0.006139,               0.006139,               0.006139
                    120,                 1.1487,                 1.2375,                 1.0132,                0.25618,                 0.3417,                0.27065,                0.16523,                 1.5301,                0.92919,                0.92597,               0.006106,               0.006106,               0.006106
                    121,                 1.1379,                 1.2339,                 1.0108,                 0.2679,                 0.3437,                0.26992,                0.17244,                 1.5284,                0.93011,                 0.9242,               0.006073,               0.006073,               0.006073
                    122,                 1.1509,                 1.2406,                 1.0106,                0.26658,                0.34866,                0.27053,                0.17211,                 1.5256,                0.93004,                0.92249,                0.00604,                0.00604,                0.00604
                    123,                 1.1355,                 1.2309,                  1.008,                0.26994,                0.35083,                0.27192,                0.17321,                 1.5246,                0.92813,                0.92234,               0.006007,               0.006007,               0.006007
                    124,                 1.1365,                 1.2265,                 1.0086,                0.26953,                0.35076,                0.27018,                0.17214,                 1.5253,                0.92894,                0.92232,               0.005974,               0.005974,               0.005974
                    125,                 1.1462,                 1.2326,                  1.009,                0.27002,                0.34894,                0.26937,                0.17179,                 1.5259,                0.92962,                0.92251,               0.005941,               0.005941,               0.005941
                    126,                 1.1473,                  1.236,                 1.0106,                0.26796,                0.34904,                0.26965,                0.17197,                 1.5264,                0.93004,                 0.9226,               0.005908,               0.005908,               0.005908
                    127,                  1.136,                 1.2361,                 1.0092,                0.29679,                0.34646,                0.26988,                0.17253,                 1.5252,                0.93042,                0.92225,               0.005875,               0.005875,               0.005875
                    128,                 1.1424,                 1.2239,                 1.0065,                  0.294,                0.34665,                0.27046,                0.17274,                 1.5256,                0.92968,                0.92194,               0.005842,               0.005842,               0.005842
                    129,                 1.1389,                 1.2204,                 1.0076,                0.29615,                0.34714,                0.27076,                0.17265,                 1.5249,                0.92969,                0.92153,               0.005809,               0.005809,               0.005809
                    130,                  1.139,                 1.2239,                 1.0081,                0.29758,                0.35257,                0.27121,                0.17293,                 1.5239,                0.92831,                0.92149,               0.005776,               0.005776,               0.005776
                    131,                 1.1528,                 1.2276,                 1.0096,                0.30251,                0.34402,                0.27182,                0.17319,                  1.522,                0.92821,                0.92111,               0.005743,               0.005743,               0.005743
                    132,                 1.1451,                 1.2342,                 1.0113,                0.30617,                0.35272,                0.27192,                 0.1735,                 1.5225,                0.92822,                0.92118,                0.00571,                0.00571,                0.00571
                    133,                  1.131,                 1.2239,                 1.0065,                  0.303,                0.35358,                0.27219,                0.17331,                 1.5209,                0.92726,                 0.9208,               0.005677,               0.005677,               0.005677
                    134,                 1.1393,                 1.2173,                 1.0046,                0.30312,                0.35163,                0.27207,                 0.1735,                 1.5211,                0.92691,                0.92066,               0.005644,               0.005644,               0.005644
                    135,                 1.1377,                 1.2303,                 1.0084,                0.30137,                0.35098,                0.27308,                0.17438,                 1.5211,                0.92707,                0.92061,               0.005611,               0.005611,               0.005611
                    136,                 1.1357,                 1.2123,                 1.0079,                0.30279,                0.35598,                0.27441,                0.17488,                  1.519,                0.92659,                0.92013,               0.005578,               0.005578,               0.005578
                    137,                 1.1382,                 1.2192,                  1.007,                 0.3007,                0.35619,                 0.2749,                0.17501,                 1.5177,                0.92594,                0.91954,               0.005545,               0.005545,               0.005545
                    138,                 1.1386,                 1.2253,                 1.0102,                0.29878,                 0.3568,                0.27591,                0.17561,                 1.5167,                0.92553,                0.91904,               0.005512,               0.005512,               0.005512
                    139,                 1.1412,                  1.221,                 1.0061,                0.29609,                0.35853,                0.27559,                0.17534,                 1.5157,                0.92469,                0.91851,               0.005479,               0.005479,               0.005479
                    140,                  1.131,                 1.2207,                 1.0045,                0.29492,                0.35867,                0.27556,                0.17543,                 1.5152,                 0.9244,                0.91833,               0.005446,               0.005446,               0.005446
                    141,                 1.1333,                 1.2187,                 1.0042,                0.29428,                0.35793,                0.27552,                0.17557,                 1.5141,                0.92431,                0.91825,               0.005413,               0.005413,               0.005413
                    142,                 1.1353,                 1.2178,                 1.0048,                0.29739,                0.35657,                0.27613,                0.17598,                  1.514,                0.92376,                0.91785,                0.00538,                0.00538,                0.00538
                    143,                 1.1324,                 1.2081,                 1.0068,                0.29929,                0.35667,                0.27622,                0.17623,                 1.5122,                0.92294,                0.91743,               0.005347,               0.005347,               0.005347
                    144,                 1.1334,                 1.2133,                 1.0087,                0.30133,                0.35508,                 0.2756,                0.17599,                 1.5107,                0.92278,                0.91703,               0.005314,               0.005314,               0.005314
                    145,                 1.1303,                 1.2047,                 1.0075,                0.30569,                0.35418,                0.27547,                0.17666,                 1.5091,                0.92222,                0.91651,               0.005281,               0.005281,               0.005281
                    146,                 1.1307,                 1.2037,                 1.0037,                0.30897,                0.35399,                0.27543,                0.17646,                 1.5092,                0.92186,                0.91629,               0.005248,               0.005248,               0.005248
                    147,                 1.1384,                 1.2226,                 1.0058,                 0.3059,                0.35409,                0.27498,                0.17644,                 1.5084,                0.92198,                0.91612,               0.005215,               0.005215,               0.005215
                    148,                 1.1327,                 1.2076,                  1.006,                0.31638,                 0.3539,                0.27557,                 0.1769,                 1.5085,                0.92258,                0.91588,               0.005182,               0.005182,               0.005182
                    149,                 1.1279,                 1.2066,                 1.0062,                0.30471,                 0.3538,                0.27525,                0.17669,                 1.5076,                0.92249,                0.91573,               0.005149,               0.005149,               0.005149
                    150,                 1.1325,                 1.2191,                 1.0066,                0.30311,                0.35371,                 0.2757,                0.17748,                 1.5081,                0.92259,                0.91548,               0.005116,               0.005116,               0.005116
                    151,                 1.1308,                 1.2133,                 1.0072,                0.30392,                 0.3538,                0.27596,                0.17742,                 1.5069,                0.92222,                 0.9154,               0.005083,               0.005083,               0.005083
                    152,                 1.1261,                 1.2085,                 1.0082,                 0.3103,                 0.3538,                0.27637,                0.17787,                 1.5067,                0.92153,                0.91535,                0.00505,                0.00505,                0.00505
                    153,                 1.1267,                 1.2066,                 1.0047,                0.30948,                0.35361,                 0.2765,                0.17799,                 1.5061,                0.92182,                0.91507,               0.005017,               0.005017,               0.005017
