                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.1347,                 1.2069,                0.96684,                0.44588,                 0.2712,                0.25463,                0.16118,                 1.4556,                0.91429,                0.89123,               0.001288,               0.001288,               0.001288
                     91,                 1.1166,                 1.1298,                0.94589,                0.45965,                0.26817,                0.25587,                0.16281,                 1.4528,                0.91094,                 0.8912,               0.001189,               0.001189,               0.001189
                     92,                 1.1061,                 1.1056,                0.94161,                0.46198,                0.26633,                0.22864,                0.14011,                 1.4491,                0.91674,                0.88969,                0.00109,                0.00109,                0.00109
                     93,                  1.107,                    1.1,                0.93996,                 0.4601,                0.26184,                0.22685,                0.13963,                  1.449,                0.91616,                0.88956,               0.000991,               0.000991,               0.000991
                     94,                 1.1044,                 1.1005,                0.93965,                0.45049,                 0.2623,                0.25055,                0.15814,                  1.451,                0.91619,                0.88935,               0.000892,               0.000892,               0.000892
                     95,                 1.0988,                 1.0938,                0.94098,                0.45945,                0.24555,                0.25004,                0.15785,                 1.4503,                0.91672,                0.88878,               0.000793,               0.000793,               0.000793
                     96,                 1.0941,                 1.0894,                0.93859,                0.64597,                0.19852,                0.25169,                0.15971,                 1.4487,                 0.9144,                0.88815,               0.000694,               0.000694,               0.000694
                     97,                  1.094,                 1.0859,                0.93619,                0.66679,                0.19757,                0.25196,                0.15992,                 1.4482,                 0.9122,                0.88793,               0.000595,               0.000595,               0.000595
                     98,                 1.0945,                 1.0775,                 0.9385,                0.67307,                 0.1976,                0.25258,                0.15915,                 1.4491,                0.91019,                 0.8883,               0.000496,               0.000496,               0.000496
                     99,                 1.0973,                 1.0776,                0.93646,                0.67421,                0.19726,                0.25577,                0.16222,                 1.4483,                 0.9074,                0.88823,               0.000397,               0.000397,               0.000397
